text,true_label,predicted_label
We will tentatively plan for a left C7-T1 epidural afterwards,Other Treatments,Acute Symptoms
He will continue his home exercise program as well as twice daily gabapentin,Other Treatments,Medications
Continue home exercise program and twice daily gabapentin.,Other Treatments,Medications
Any concerning tissue will be biopsied and sent to pathology for staging.,Other Treatments,Medications
"After she has recovered from surgery, she will start chemotherapy treatment with cisplatin and Taxol",Other Treatments,Acute Symptoms
We may also consider intraperitoneal chemotherapy.,Other Treatments,Medications
I have recommended that we treat the patient conservatively with continued bracing.,Other Treatments,Discussion
We will initiate formal physical therapy 3 times per week to strengthen her right knee,Other Treatments,Acute Symptoms
She should discontinue the use of her THC gummies while taking these medications.,Other Treatments,Medications
I have advised her to avoid skiing or gymnastics at this time.,Other Treatments,Medications
I have recommended a knee brace,Other Treatments,Medications
She will use crutches for the next couple of days,Other Treatments,Medications
1. Acute nephrolithiasis.\nMedical Treatment: I have recommended that he push fluids in order to help facilitate urination to help pass the stone,Other Treatments,Acute Assessment
He will be provided with a strainer to allow us to potentially test the stone if he is able to pass it.,Other Treatments,Medications
Depression.\nMedical Treatment: Continue with therapy and current management strategies.,Other Treatments,Medications
"I advised continuation of fluids, rest",Other Treatments,Acute Symptoms
"Additionally, he may also use baby oil and a soft brush on the area.",Other Treatments,Medications
and home monitoring,Other Treatments,Diagnostic Testing
His maximum salt intake should be 1500 to,Other Treatments,Medications
He was provided materials to follow the DASH diet and encouraged to meet 30-min of walking most days.,Other Treatments,Medications
Reduce sodium intake to 1500 to,Other Treatments,Medications
Follow DASH diet.,Other Treatments,Medications
He will continue with physical therapy,Other Treatments,Medications
I have also recommended that the patient be placed in a surgical shoe to provide increased support,Other Treatments,Medications
4. Hypertension.\n- Patient Education and Counseling: I encouraged the patient to continue exercising and to be cognizant of her diet,Other Treatments,Medications
The plan is to place the patient in a knee immobilizer to provide increased support for the next week,Other Treatments,Acute Symptoms
I have also advised her to ice her left knee 3 to 4 times a day for 20 to 30 minutes at a time,Other Treatments,Medications
"In the meantime, I have recommended that the patient be placed in a brace to provide increased support",Other Treatments,Medications
I have also recommended that the patient attend formal physical therapy to work on her range of motion and strengthening.,Other Treatments,Medications
I advised her to ice her right knee a few times a day to reduce the swelling,Other Treatments,Medications
