text,true_label,predicted_label
Patient Agreements: The patient understands and agrees with the recommended medical treatment plan.,Discussion,Medications
although the exact level will be pending the MRI results,Discussion,Medications
This plan was discussed in detail with the patient who is in agreement.,Discussion,Medications
1. Ovarian cancer.\nPatient Education and Counseling: I explained to the patient that the typical approach to treating this stage of cancer is surgical intervention followed by adjunct chemotherapy,Discussion,Medications
The procedure and subsequent chemotherapy plans were discussed in detail,Discussion,Medications
"Given that she is young and otherwise healthy, I reassured her that I believe her prognosis is favorable based on her current status, however, this is dependent on the final pathology report",Discussion,Acute Assessment
All of her questions were answered.,Discussion,Medications
Patient Agreements: The patient understands and agrees with the recommended medical treatment plan.,Discussion,Medications
After reviewing the patient's examination and radiographic findings today,Discussion,Medications
I have had a lengthy discussion with the patient in regard to her current symptoms,Discussion,Acute Symptoms
"Regarding her left knee, I do not believe she will need any further medications to treat this.",Discussion,Acute Symptoms
"At this point, I discussed the diagnosis and treatment options with the patient",Discussion,Acute Symptoms
"If she is not better at that time, we will obtain an MRI. All questions were answered.",Discussion,Medications
"If there are abnormalities on the kidney ultrasound, we will determine the next steps and future follow-up",Discussion,Medications
I will call patient with results and possible next steps.,Discussion,Medications
He is to contact me if he is having worsening symptoms over the next week.,Discussion,Medications
We will defer medication at this time.,Discussion,Medications
• Patient Education and Counseling: I advised her to continue with daily home monitoring of her blood pressures. She will contact me via the patient portal for any elevation in these readings.,Discussion,Medications
Patient Agreements: The patient understands and agrees with the recommended medical treatment plan.,Discussion,Medications
I also provided counseling to the mother to avoid giving honey to the patient for his first year of life due to botulism spores,Discussion,Medications
Dandruff\nThe patient is experiencing worsening symptoms of dandruff,Discussion,Acute Symptoms
I counseled the mother that she should be careful not to get the shampoo in the patient eyes and to not use the extra strength shampoos,Discussion,Medications
"An extensive discussion of breast reduction surgery was performed with the patient with consideration of the patient's age, co-morbidities, previous surgical history, body habitus, BMI, and smoking history",Discussion,Medications
"Surgical time, immediate recovery course, and longer term recovery course were discussed",Discussion,Medications
Relief of the patient's current symptoms related to macromastia was not guaranteed though is expected to improve,Discussion,Acute Symptoms
"Specific breast size was discussed, also not guaranteed",Discussion,Medications
I explained the expected outcomes of using a free nipple graft such as an insensate nipple and an inability to breast feed,Discussion,Medications
The patient understands that the decision for a free nipple graft will be made intraoperatively based on assessment of nipple perfusion.,Discussion,Medications
"Risks and benefits of were discussed with the patient The patient understands the above risks, benefits and alternatives to surgery and wishes to proceed with bilateral reduction mammaplasty.",Discussion,Medications
The patient will be switching to a different insurance policy in 07/2021,Discussion,Medications
"Once we get the new insurance information from the patient, we will submit it to her insurance company",Discussion,Medications
"If approved, she will return for preoperative counseling and consent.",Discussion,Medications
Return to clinic prior to scheduled surgery date for preoperative counseling and consent.,Discussion,Acute Symptoms
"If she does truly have severe aortic stenosis, I briefly discussed a TAVR procedure today as she is not a candidate for a surgical AVR given her age co-morbidities and frailty.",Discussion,Medications
"She is unsure if she would be interested in this, but we will assess first with the echocardiogram and then discuss further at follow-up.",Discussion,Theraputic History
"She has no known CAD but if we were to do a TAVR evaluation and this was discovered, a statin would be indicated.",Discussion,Medications
Patient Agreements: The patient understands and agrees with the recommended medical treatment plan.,Discussion,Medications
Next medication to consider adding is carvedilol,Discussion,Medications
"I have tried to avoid this, given the potential for issues with erectile dysfunction",Discussion,Medications
"I counseled the patient about spironolactone side effects, including gynecomastia and electrolyte disturbances, as well as his increased risk of dehydration, with one sign to watch for being dizziness",Discussion,Medications
"If we are not able to improve his blood pressure with spironolactone, the next step would be sending him to the resistant hypertension clinic.",Discussion,Medications
I provided and reviewed with Mr. Roberts the American Heart association website heart.org and encouraged him to access for tips on lowering his salt intake and increasing his potassium intake,Discussion,Medications
We reviewed side effects and risks,Discussion,Medications
The potential benefit of alcohol cessation would be highly beneficial to the patient.,Discussion,Medications
Target BP is 130-140/70-80.,Discussion,Medications
"Recommend upgrading influenza vaccination and Shingrix #2, she defers this.",Discussion,Medications
Call the clinic with any questions,Discussion,Medications
"After reviewing the patient's examination and radiographic findings today, I have had a lengthy discussion with the patient in regards to his current symptoms",Discussion,Medications
"We discussed doing a debridement in office today, which she agreed to.",Discussion,Medications
I advised the patient that this should be continued until we see the ulcer decrease in size.,Discussion,Acute Symptoms
2. Newly reduced left ventricular dysfunction and moderate mitral regurgitation.\n- Patient Education and Counseling: I advised the patient that she will recover since she is compliant with her medications.,Discussion,Medications
I explained that there are healthier alternatives available to reduce the amount of preserved meats she consumes.,Discussion,Acute Symptoms
5. Type 2 diabetes.\n- Patient Education and Counseling: I encouraged the patient to continue monitoring her blood glucose levels.,Discussion,Medications
Patient Agreements: The patient understands and agrees with the recommended medical treatment plan.,Discussion,Medications
"After reviewing the patient's examination and radiographic findings today, I have discussed with the patient",Discussion,Medications
I have recommended that we treat the patient conservatively,Discussion,Medications
I have advised her to refrain from running for the next 3 weeks,Discussion,Medications
"If her pain does not improve with the immobilizer, I will recommend obtaining an MRI.",Discussion,Medications
"Herniated disc.\n Patient Education and Counseling: If she has any recurrent symptoms, she will let me know and we can take it from there.",Discussion,Medications
Patient Agreements: The patient understands and agrees with the recommended medical treatment plan.,Discussion,Medications
"Patient Agreements: The patient understands and agrees with the recommended medical treatment plan.\""",Discussion,Medications
"After reviewing the patient's examination and radiographic findings today, we had a lengthy discussion in regard to her current symptoms",Discussion,Medications
