text,true_label,predicted_label
"X-ray Cervical Spine, 06/04/2021.\nImpression: Significant disc degeneration at C5-6 and to a lesser extent C4-5 and C3-4. Significant lower facet arthropathy. C6-7 and C7-T1 are difficult to visualize in the current x-rays.",Radiology Examination,Medications
CT scan of the abdomen was reviewed and demonstrated a 3 cm left ovarian mass with associated localized lymph node involvement. There is no evidence of gross peritoneal or metastatic disease.,Radiology Examination,Theraputic History
4 views of the right knee were taken. These reveal no evidence of any fractures. There is development of mild arthritis.,Radiology Examination,Medications
X-rays of the right knee show no obvious signs of acute fracture or dislocation. Mild effusion is noted.,Radiology Examination,Discussion
Previous CT scan of the abdomen ordered by the patient's PCP is reviewed and demonstrates a 0.5 cm kidney stone located in the proximal right ureter. There is no evidence of hydronephrosis.,Radiology Examination,Medications
Electrocardiogram stable in comparison to last year.,Radiology Examination,Medications
The patient has attempted non-surgical treatments with minimal relief,Radiology Examination,Acute Assessment
"Her minimum required resection based on a BSA of 2.65 with the Schnur scale is 1792 g, which should be attainable",Radiology Examination,Medications
EKG\nImpression: Sinus rhythm with frequent PVCs as well as anterior septal infarct pattern.,Radiology Examination,Medications
"Views: Four views left knee.\nIndication: Knee pain.\nInterpretation: There are no fractures, dislocations, or other abnormalities.",Radiology Examination,Medications
X-rays of the lumbar spine were reviewed. These reveal no acute bony abnormalities.,Radiology Examination,Acute Symptoms
X-ray of the right foot today reveals no evidence of osteomyelitis.,Radiology Examination,Discussion
EKG is reviewed and demonstrates a normal sinus rhythm. Good R wave progression. Evolutionary changes that are anticipated after a STEMI.,Radiology Examination,Acute Symptoms
Echocardiogram is reviewed and demonstrates a reduced ejection fraction of 35%.,Radiology Examination,Medications
4 views of the left knee were taken. These reveal no evidence of any fractures or dislocations. No other abnormalities are noted.,Radiology Examination,Discussion
Echocardiogram shows reduced ejection fraction at 45% with a slight mitral regurgitation.,Radiology Examination,Acute Symptoms
ECG prior coronary artery disease. No new changes.,Radiology Examination,Medications
4 views of the right knee were taken. These reveal no evidence of any fractures or dislocations. Joint space is well preserved. No other abnormalities are noted.,Radiology Examination,Medications
