text,true_label,predicted_label
We will follow up with him afterwards to determine his level of relief.,Follow-up,Medications
Follow-up after epidural.,Follow-up,Medications
She will follow up with me in 1 week for a repeat evaluation,Follow-up,Medications
He will follow up in 1 to 2 weeks,Follow-up,Medications
Return in one week for a re-check.,Follow-up,Medications
Follow-up in 3 to 4 weeks after her echocardiogram is done to discuss results and next steps.,Follow-up,Acute Symptoms
She will send me a report in the next couple of weeks,Follow-up,Medications
We will schedule him for a follow up in 2 weeks,Follow-up,Medications
Schedule follow up appointment in 2 weeks,Follow-up,Medications
I will see her back week of June 14 which likely will be the time of her second naltrexone injection.,Follow-up,Medications
Make follow up appointment week of June 14th.,Follow-up,Medications
The patient will follow up with me in 2 weeks to check on her progress.,Follow-up,Medications
"The patient will follow up as instructed.\""",Follow-up,Medications
The patient will follow up with me in 4 to 6 weeks to check on her progress.,Follow-up,Medications
