text,true_label,predicted_label
but that was because he was sitting in the back of a car.,Other Social,Medications
She denies any other exercises outside of intense gym and ski events.,Other Social,Acute Symptoms
The patient states that she normally skis 3 times per week.,Other Social,Medications
"The family lives in Dallas, Georgia, so her follow-up should be at the Town Center location.",Other Social,Medications
She has been to multiple events now that she has been able to get vaccinated for COVID-19.,Other Social,Medications
She reports that she has been able to see her grandchildren again and attend birthday parties.,Other Social,Medications
"She reports that she is starting to go in person rather than virtual, which has helped even more",Other Social,Acute Symptoms
The patient has a good support system at home with her husband and her children live down the street.,Other Social,Medications
She also has a solid support system at home.,Other Social,Medications
Currently she has Blue Cross Blue Shield insurance but will be added to her spouse’s insurance plan in 07/2021.,Other Social,Medications
Occupational and Educational: Currently studying to be a psychologist.,Other Social,Medications
SOCIAL HISTORY\n\nRequires a walker to ambulate.,Other Social,Acute Symptoms
He also walks on his treadmill as often as he can.,Other Social,Medications
however he did not undergo this secondary to insurance issues.,Other Social,Medications
She states that she has been wearing her regular shoes.,Other Social,Medications
"He states it has been a pretty stressful winter and spring, as they have been very short-staffed at work",Other Social,Discussion
He has been hosting friends over vacation and at the beach this summer,Other Social,Medications
She enjoys walking her dogs and swimming but has not done this since her injury.,Other Social,Medications
The patient works in a Children's Hospital.,Other Social,Acute Symptoms
